DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,65.4298993690391,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,55.4070292561668,76.1318165096319,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0T4: Under-five mortality rate,_T: Total,2019,63.3243188292192,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,52.5264069662,75.2145404816498,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0T4: Under-five mortality rate,_T: Total,2020,61.3055387997174,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,49.9433442213359,74.4662853458725,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0T4: Under-five mortality rate,_T: Total,2021,59.3354287138306,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,47.3435073160204,73.6142116097595,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0T4: Under-five mortality rate,_T: Total,2022,57.3906363339213,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,44.8187836636417,73.1177477315738,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,78.0660368805509,,"D_PER_1000_B: Deaths per 1,000 live births",,,72.5949037838865,86.4906567612332,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2019,76.3607236047346,,"D_PER_1000_B: Deaths per 1,000 live births",,,70.5785682954115,85.5284805579552,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2020,73.3555185261334,,"D_PER_1000_B: Deaths per 1,000 live births",,,67.3564097016147,83.4487946785503,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2021,71.5232089092521,,"D_PER_1000_B: Deaths per 1,000 live births",,,65.2338549337826,82.5654465258,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2022,71.0499891396026,,"D_PER_1000_B: Deaths per 1,000 live births",,,64.5822755796057,83.1060993875003,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AU_AFRICA: African Union,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,73.3125417734725,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AU_AFRICA: African Union,CME_MRY0T4: Under-five mortality rate,_T: Total,2019,71.3733535427972,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AU_AFRICA: African Union,CME_MRY0T4: Under-five mortality rate,_T: Total,2020,69.478762202845,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AU_AFRICA: African Union,CME_MRY0T4: Under-five mortality rate,_T: Total,2021,67.566511953738,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AU_AFRICA: African Union,CME_MRY0T4: Under-five mortality rate,_T: Total,2022,65.7083918633763,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,9.34293878980078,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,8.95423665822058,9.7466140392121,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2019,9.38644535597836,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,8.9349061624785,9.84804624790056,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2020,9.43316579920125,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,8.8762020764933,10.0071493072501,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2021,9.4650550667463,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,8.73748401292897,10.2255023275363,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2022,9.44571138015178,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,8.52036566634592,10.4789752779898,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,23.6501215337194,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,22.309099310766,25.0401442634151,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,CME_MRY0T4: Under-five mortality rate,_T: Total,2019,23.2700797493441,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,21.9438812597229,24.6597945424424,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,CME_MRY0T4: Under-five mortality rate,_T: Total,2020,22.9334639100936,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,21.58703710441,24.3490326094351,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,CME_MRY0T4: Under-five mortality rate,_T: Total,2021,22.5911632228903,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,21.1626110847869,24.1625949235485,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,CME_MRY0T4: Under-five mortality rate,_T: Total,2022,22.3006474183766,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,20.5797891148064,24.1720124176827,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AMRO: Americas,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,14.2756364253299,,"D_PER_1000_B: Deaths per 1,000 live births",,,13.8301937049502,14.9232365197021,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AMRO: Americas,CME_MRY0T4: Under-five mortality rate,_T: Total,2019,13.9887494736511,,"D_PER_1000_B: Deaths per 1,000 live births",,,13.502183920026,14.7131206461875,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AMRO: Americas,CME_MRY0T4: Under-five mortality rate,_T: Total,2020,13.7636305719477,,"D_PER_1000_B: Deaths per 1,000 live births",,,13.2254072978201,14.5876858291412,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AMRO: Americas,CME_MRY0T4: Under-five mortality rate,_T: Total,2021,13.4856080427795,,"D_PER_1000_B: Deaths per 1,000 live births",,,12.8776726745004,14.4161147142659,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AMRO: Americas,CME_MRY0T4: Under-five mortality rate,_T: Total,2022,13.2049159414553,,"D_PER_1000_B: Deaths per 1,000 live births",,,12.5407608016867,14.2577302997547,,,,UN_IGME,,,,,,_T: Total
